problem_id,coverage_group,num_plans,mean_q4_binary,best_q4_binary,best_mean_gap_binary,mean_q4_tpr,best_q4_tpr,best_mean_gap_tpr,q4_binary_profile,q4_tpr_profile
deepcoder_taco_00575,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00581,NO_COVERAGE,8,0.0,0.0,0.0,0.00625,0.05,0.043750000000000004,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0500 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00582,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00583,UNSTABLE_COVERAGE,8,0.0625,0.25,0.1875,0.065625,0.25,0.184375,0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000 | 0.0000 | 0.0000 | 0.2500,0.0000 | 0.0000 | 0.0000 | 0.2500 | 0.0000 | 0.0250 | 0.0000 | 0.2500
deepcoder_taco_00600,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00605,STABLE_COVERAGE,8,0.1875,0.75,0.5625,0.1875,0.75,0.5625,0.2500 | 0.0000 | 0.5000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.7500,0.2500 | 0.0000 | 0.5000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.7500
deepcoder_taco_00617,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00633,STABLE_COVERAGE,8,0.875,1.0,0.125,0.875,1.0,0.125,0.7500 | 0.7500 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.5000 | 1.0000,0.7500 | 0.7500 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.5000 | 1.0000
deepcoder_taco_00663,STABLE_COVERAGE,8,0.78125,1.0,0.21875,0.878125,1.0,0.12187499999999996,1.0000 | 0.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.2500,1.0000 | 0.4750 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 1.0000 | 0.5500
deepcoder_taco_00668,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00671,NO_COVERAGE,8,0.0,0.0,0.0,0.025,0.1,0.07500000000000001,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0250 | 0.0000 | 0.0000 | 0.1000 | 0.0000 | 0.0000 | 0.0250 | 0.0500
deepcoder_taco_00679,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00691,UNSTABLE_COVERAGE,8,0.0625,0.5,0.4375,0.4875,0.75,0.2625,0.0000 | 0.0000 | 0.5000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.7500 | 0.3500 | 0.6500 | 0.2000 | 0.3000 | 0.7500 | 0.2000 | 0.7000
deepcoder_taco_00698,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00699,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00707,STABLE_COVERAGE,8,0.46875,1.0,0.53125,0.65,1.0,0.35,1.0000 | 0.5000 | 0.0000 | 0.0000 | 0.5000 | 1.0000 | 0.5000 | 0.2500,1.0000 | 0.6000 | 0.2000 | 0.2000 | 0.7250 | 1.0000 | 0.5500 | 0.9250
deepcoder_taco_00716,NO_COVERAGE,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00726,NO_COVERAGE,8,0.0,0.0,0.0,0.003125,0.025,0.021875000000000002,0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000,0.0000 | 0.0000 | 0.0000 | 0.0250 | 0.0000 | 0.0000 | 0.0000 | 0.0000
deepcoder_taco_00764,UNSTABLE_COVERAGE,8,0.125,0.25,0.125,0.509375,0.9,0.390625,0.2500 | 0.0000 | 0.2500 | 0.0000 | 0.2500 | 0.0000 | 0.2500 | 0.0000,0.5500 | 0.3000 | 0.7500 | 0.4000 | 0.6250 | 0.9000 | 0.5000 | 0.0500
