step,reward,entropy,grad_norm,abs_pg_loss,advantage_range,response_length,reward_range
1,0.2166666686534881,0.8023210167884827,0.1798687577247619,0.037530405446887,2.6882969737052917,239.4375,1.0
2,0.3000000119209289,0.6934342980384827,0.1343996375799179,0.0019422750920057,1.999994874000549,337.875,0.800000011920929
3,0.0041666668839752,0.9149292707443236,0.1427349150180816,0.0536558665335178,3.999759688973427,280.125,0.0666666701436042
4,0.2791666984558105,0.8101764917373657,0.1441851556301117,0.1513883918523788,3.159067273139954,290.4375,0.800000011920929
5,0.0083333337679505,0.6579553484916687,0.1596324145793914,0.0408626273274421,3.9998799860477448,301.6875,0.1333333402872085
6,0.054166667163372,0.6776837110519409,0.135720819234848,0.004325246438384,2.038557529449463,312.0625,0.1333333402872085
7,0.0,0.8922808170318604,0.0,0.0,0.0,252.1875,0.0
8,0.016666667535901,0.7685036659240723,0.1623196601867675,0.039983257651329,3.9999399930238724,232.125,0.2666666805744171
9,0.3083333373069763,0.9520397186279296,0.1850838512182235,0.0747957676649093,2.2381362318992615,231.625,1.0
10,0.0,0.8402953743934631,0.0,0.0,0.0,317.0625,0.0
11,0.3125,0.6013774275779724,0.1383420079946518,0.0798047836869955,2.0889275074005127,304.1875,1.0
12,0.7916667461395264,0.9622787237167358,0.1728091537952423,0.0514170415699481,2.9552575945854187,237.3125,0.6666666567325592
13,0.058333333581686,0.6027384996414185,0.1408468782901764,0.0855459943413734,1.9517715573310852,288.3125,0.1333333402872085
14,0.375,0.7741380333900452,0.1978378742933273,0.0282580580096691,2.177570343017578,216.25,1.0
15,0.0,0.8327865600585938,0.0,0.0,0.0,236.8125,0.0
16,0.6541666984558105,0.8908151984214783,0.2075854837894439,0.0468903332948684,2.3590809106826782,180.1875,1.0
17,0.0,0.7226638793945312,0.0,0.0,0.0,348.5,0.0
18,0.4250000119209289,0.9536686539649964,0.1673080623149871,0.0063880756497383,3.504874706268311,242.375,0.7333333492279053
19,0.0625,0.9114537239074708,0.2212756276130676,0.135596252977848,3.9999837279319763,220.4375,1.0
20,0.0,0.8040801286697388,0.0,0.0,0.0,261.0625,0.0
21,0.0,0.7531754970550537,0.0,0.0,0.0,236.3125,0.0
22,0.0416666679084301,0.8502413034439087,0.2400331050157547,0.1647504791617393,3.9999758601188664,233.875,0.6666666865348816
23,0.0500000044703483,0.8795817494392395,0.1843823939561844,0.035671857651323,2.4806715548038483,222.75,0.2666666805744171
24,0.0,0.7899391055107117,0.0,0.0,0.0,249.875,0.0
26,0.875,0.6068095564842224,0.1599827110767364,0.0128043927252292,2.9276916086673737,187.5625,1.0
27,0.0,0.7030611038208008,0.0,0.0,0.0,249.625,0.0
28,0.6166667342185974,0.6776667833328247,0.1764363944530487,0.1128399148583412,2.6599684953689575,213.875,1.0
29,0.4250000119209289,0.8441304564476013,0.1632820069789886,0.0564624182879924,2.8607629537582397,249.375,0.8666666746139526
30,0.2000000178813934,0.7911120653152466,0.1538484245538711,0.0307412846013903,1.93648225069046,285.4375,0.4000000059604645
31,0.0,0.7436696887016296,0.0,0.0,0.0,309.25,0.0
32,0.2833333313465118,0.632729172706604,0.1377427130937576,0.0283539369702339,3.6539686918258667,339.625,0.6000000163912774
33,0.0,0.6895530223846436,0.0,0.0,0.0,273.1875,0.0
34,0.2250000089406967,0.7016149759292603,0.1436160802841186,0.0859695002436637,3.3218052983283997,276.4375,0.800000011920929
35,0.0250000022351741,0.5704259872436523,0.1211898699402809,0.1920581385493278,3.6770577430725098,290.0625,0.2666666805744171
36,0.050000000745058,0.8955191373825073,0.1975599825382232,0.0902262777090072,2.2360429763793945,213.75,0.2000000029802322
37,0.0,0.8162205815315247,0.0,0.0,0.0,310.4375,0.0
38,0.0,0.8318773508071899,0.0,0.0,0.0,235.3125,0.0
39,0.1791666746139526,0.6808498501777649,0.1392374038696289,0.0545154511928558,4.516665875911713,276.0625,1.0
40,0.4375,0.6711044311523438,0.1454316824674606,0.1070157214999198,1.9517964124679565,271.9375,1.0
41,0.0,0.8423564434051514,0.0,0.0,0.0,239.375,0.0
42,0.0,0.7736900448799133,0.0,0.0,0.0,300.5,0.0
43,0.0,1.0237468481063845,0.0,0.0,0.0,276.0,0.0
44,0.1916666775941848,0.8861210346221924,0.1661571860313415,0.0445028729736804,2.068680226802826,244.25,0.4666666686534881
45,0.0,0.7651242017745972,0.0,0.0,0.0,287.5,0.0
46,0.5374999642372131,0.7074209451675415,0.1624580472707748,0.1530626793392002,2.3857854604721074,277.0625,1.0
47,0.0250000022351741,0.7902761697769165,0.1651326715946197,0.1520905550569296,1.9999401569366455,232.6875,0.0666666701436042
48,0.4791666865348816,0.7823788523674011,0.1985770761966705,0.2363273501396179,2.607374668121338,179.25,1.0
49,0.0,0.6570746302604675,0.0,0.0,0.0,208.375,0.0
