step,success_count,group_type,is_positive,is_informative,has_advantage_signal,has_actor_update,has_pg_signal,actor/entropy,actor/grad_norm,actor/loss,actor/lr,actor/perf/cpu_memory_used_gb,actor/perf/max_memory_allocated_gb,actor/perf/max_memory_reserved_gb,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,perf/mfu/actor,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/log_ppl_abs_diff,rollout_corr/log_ppl_diff,rollout_corr/log_ppl_diff_max,rollout_corr/log_ppl_diff_min,rollout_corr/ppl_ratio,rollout_corr/rollout_log_ppl,rollout_corr/rollout_ppl,rollout_corr/training_log_ppl,rollout_corr/training_ppl,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/update_actor,timing_s/adv,timing_s/gen,timing_s/old_log_prob,timing_s/save_checkpoint,timing_s/step,timing_s/update_actor,timing_s/update_weights,training/epoch,training/global_step,training/num_turns/max,training/num_turns/mean,training/num_turns/min,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,training/rollout_probs_diff_valid
1.0,0,all_fail,False,False,False,False,False,0.8210499882698059,0.0,0.0,1e-06,53.56952667236328,23.795878887176514,27.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8135.0,8135.0,8135.0,8135.0,8135.0,0.0,0.0,103.00931733016498,78.97343862522393,8135.0,1.0,312.0,312.0,312.0,0.0,0.0625,320.0,196.4375,101.0,0.0625,320.0,196.4375,101.0,-0.1515127420425415,-0.0002098679542541504,0.0004707832704298198,0.0010446051601320505,0.001684579998254776,0.0010288693010807037,0.005607187747955322,-0.003076910972595215,1.0010313987731934,0.8312954902648926,2.320755958557129,0.8323243856430054,2.3233482837677,0.0012060239814913338,22.273331802490077,0.4471350043380121,0.009811005089432001,70.00508185522631,2.58152919029817,,78.97343862522393,3.6374432602897286,2.160810817964375,0.0,1.0,2.0,2.0,2.0,0.9996557831764221,0.060945063829422,0.004629394505172968,0.00805620290338993,1.0
2.0,0,all_fail,False,False,False,False,False,0.75380539894104,0.0,0.0,1e-06,53.743465423583984,24.0366792678833,27.21484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14453.0,14453.0,14453.0,14453.0,14453.0,0.0,0.0,169.19960251441887,85.41982241813093,14453.0,1.0,651.0,651.0,651.0,0.0,0.125,512.0,252.3125,45.0,0.125,512.0,252.3125,45.0,0.25927281379699707,0.0012288093566894531,0.00044598194654099643,0.0002782184164971113,0.0013729743659496307,7.607415318489075e-05,0.00229567289352417,-0.004655003547668457,1.0000776052474976,0.8559525609016418,2.640806198120117,0.8560285568237305,2.640519857406616,0.000650901173416128,18.33169150680898,0.396456793806367,0.009407474659383297,74.00503861298785,3.053954770322889,,85.41982241813093,5.729990040883422,2.0784863349981606,0.0,2.0,2.0,2.0,2.0,0.999661922454834,0.059040069580078125,0.004368504509329796,0.007846402004361153,1.0
3.0,0,all_fail,False,False,False,False,False,0.6980804800987244,0.0,0.0,1e-06,53.05453872680664,24.0366792678833,27.9140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12392.0,12392.0,12392.0,12392.0,12392.0,0.0,0.0,109.45517555606746,113.21529509266838,12392.0,1.0,464.0,464.0,464.0,0.0,0.0625,512.0,310.5,191.0,0.0625,512.0,310.5,191.0,0.21606266498565674,0.0010222196578979492,0.00048409251030534506,0.000412260415032506,0.001519693061709404,0.0003519449383020401,0.005114734172821045,-0.004060268402099609,1.0003541707992554,0.719046950340271,2.1127023696899414,0.7193989753723145,2.1128687858581543,0.0007719701406136492,20.73412941976476,0.39938980896263987,0.00956625398248434,103.00715495739132,2.640781099908054,,113.21529509266838,4.949238512665033,2.1036622282117605,0.0,3.0,2.0,2.0,2.0,0.9996907711029053,0.14985153079032898,0.0037845789920538664,0.007642477285116911,1.0
4.0,0,all_fail,False,False,False,False,False,0.7672591805458069,0.0,0.0,1e-06,53.030616760253906,24.142456531524658,28.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28169.0,28169.0,28169.0,28169.0,28169.0,0.0,0.0,261.5963525906392,107.68116497434676,28169.0,1.0,1452.0,1452.0,1452.0,0.0,0.0625,512.0,308.5625,105.0,0.0625,512.0,308.5625,105.0,0.6935014724731445,0.0016864538192749023,0.00046625599497929215,9.131801925832406e-05,0.0014169998466968536,-5.1174312829971313e-05,0.0018125176429748535,-0.004375755786895752,0.9999502897262573,0.774133026599884,2.1874732971191406,0.774081826210022,2.1874866485595703,0.0003475164774074109,18.43352028290789,0.35080138776480313,0.009789191652089357,91.00628963671625,4.189168958924711,,107.68116497434676,9.881724291946739,2.0918216318823397,0.0,4.0,2.0,2.0,2.0,0.9996547102928162,0.060328900814056396,0.00445182342082262,0.007980593480169773,1.0
5.0,0,all_fail,False,False,False,False,False,0.8377853035926819,0.0,0.0,1e-06,53.046321868896484,24.142456531524658,28.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8674.0,8674.0,8674.0,8674.0,8674.0,0.0,0.0,136.35396354696266,63.613845717161894,8674.0,1.0,335.0,335.0,335.0,0.0,0.0625,311.0,207.125,134.0,0.0625,311.0,207.125,134.0,0.22291886806488037,0.0009833574295043945,0.00047284073662012815,0.0004537060740403831,0.0018308013677597046,0.00022474676370620728,0.005142092704772949,-0.0038330554962158203,1.0002278089523315,0.824636697769165,2.3527443408966064,0.8248614072799683,2.3531136512756348,0.0011028662553292858,16.597374952350467,0.4348643776909778,0.009566261898726225,55.003700592089444,2.2445789743214846,,63.613845717161894,3.7720136120915413,2.0804979717358947,0.0,5.0,2.0,2.0,2.0,0.9997004270553589,0.08771196007728577,0.004251649137586355,0.007598042953759432,1.0
6.0,0,all_fail,False,False,False,False,False,0.7541133165359497,0.0,0.0,1e-06,53.213539123535156,24.142456531524658,28.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18597.0,18597.0,18597.0,18597.0,18597.0,0.0,0.0,169.50417129550215,109.71411415934563,18597.0,1.0,869.0,869.0,869.0,0.0,0.0625,512.0,293.3125,103.0,0.0625,512.0,293.3125,103.0,0.34805309772491455,0.001198887825012207,0.0004241381539031863,0.00024928204948082566,0.001534976065158844,0.00013975799083709717,0.004080235958099365,-0.002210259437561035,1.0001415014266968,0.8141067624092102,2.359225273132324,0.8142464756965637,2.3599331378936768,0.0005100462422429499,20.670468613168794,0.3660863996350926,0.00948532996699214,97.00650920160115,3.3036085879430175,,109.71411415934563,6.808108774013817,2.082632723264396,0.0,6.0,2.0,2.0,2.0,0.9997026324272156,0.05791598558425903,0.003956622444093227,0.007570895366370678,1.0
7.0,2,mixed,True,True,True,True,True,0.7922410368919373,0.1318606734275818,0.13291138410568237,1e-06,52.97721862792969,24.142456531524658,28.12890625,0.0,0.0,0.13291139528155327,0.0,2.561730146408081,-0.13291139900684357,-0.3659614622592926,2.561730146408081,-0.13291139900684357,-0.3659614622592926,1.0,0.125,0.0,1.0,0.125,0.0,18406.0,18406.0,18406.0,18406.0,18406.0,0.0,0.0,146.96497401820798,125.24072571005672,18406.0,1.0,874.0,874.0,874.0,0.0,0.0625,488.0,276.375,156.0,0.0625,488.0,276.375,156.0,0.4913095235824585,0.001712203025817871,0.00048514828085899353,0.0001172232223325409,0.001491732895374298,1.0602176189422607e-05,0.003753185272216797,-0.005761086940765381,1.0000126361846924,0.8281873464584351,2.3442583084106445,0.8281979560852051,2.3441214561462402,0.0005672762155659131,25.329652309652765,0.36052012969183655,0.010441286023706198,112.00772251328453,3.232629143167287,,125.24072571005672,6.635733507107943,2.8525214097462595,0.0,7.0,2.0,2.0,2.0,0.9996975064277649,0.06203386187553406,0.004210417624562979,0.00762399286031723,1.0
8.0,1,mixed,True,True,True,True,True,0.7238867282867432,0.14842577278614044,0.03800070285797119,1e-06,53.004051208496094,24.142456531524658,28.12890625,0.0,0.0,0.03800070658326149,0.0,3.7499847412109375,-0.03800073638558388,-0.24999898672103882,3.7499847412109375,-0.03800073638558388,-0.24999898672103882,1.0,0.0625,0.0,1.0,0.0625,0.0,16301.0,16301.0,16301.0,16301.0,16301.0,0.0,0.0,230.15262470308343,70.82691331906244,16301.0,1.0,724.0,724.0,724.0,0.0,0.125,512.0,294.8125,128.0,0.125,512.0,294.8125,128.0,0.06352102756500244,0.0010226964950561523,0.0004748586507048458,0.0004387172230053693,0.001352693885564804,0.00016703829169273376,0.0022219419479370117,-0.0024595260620117188,1.0001680850982666,0.7104164958000183,2.067539930343628,0.710583508014679,2.0680596828460693,0.0005980863761341679,12.508820559638352,0.37805511004334724,0.009749406017363071,59.004106579814106,3.0539382696151733,,70.82691331906244,6.162676348816603,2.0914106499403715,0.0,8.0,2.0,2.0,2.0,0.9996609687805176,0.06010720133781433,0.0042368886061012745,0.007899482734501362,1.0
9.0,0,all_fail,False,False,False,False,False,0.8852468729019165,0.0,0.0,1e-06,52.98988342285156,24.142456531524658,28.12890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18394.0,18394.0,18394.0,18394.0,18394.0,0.0,0.0,233.49273003867842,78.77761331992224,18394.0,1.0,860.0,860.0,860.0,0.0,0.0625,512.0,289.625,150.0,0.0625,512.0,289.625,150.0,0.3929785490036011,0.001843094825744629,0.000497274799272418,7.557854405604303e-05,0.0014691874384880066,-0.00016342848539352417,0.004308462142944336,-0.004380404949188232,0.9998384118080139,0.9267828464508057,2.611985921859741,0.9266194105148315,2.611766815185547,0.0005032369178171273,14.243583087188368,0.374401143028104,0.00925653986632824,66.0047640260309,3.301722642965615,,78.77761331992224,6.886734624858946,2.0721619511023164,0.0,9.0,2.0,2.0,2.0,0.9996801018714905,0.05283662676811218,0.004422252997756004,0.007935071364045143,1.0
10.0,1,mixed,True,True,True,True,True,0.8115122318267822,0.1956096738576889,-0.08894958347082138,1e-06,52.97422409057617,24.142456531524658,28.12890625,0.0,0.0,-0.08894957602024078,0.0,3.7499847412109375,0.08894961327314377,-0.24999898672103882,3.7499847412109375,0.08894961327314377,-0.24999898672103882,1.0,0.0625,0.0,1.0,0.0625,0.0,17407.0,17407.0,17407.0,17407.0,17407.0,0.0,0.0,259.8652152873989,66.98472506506369,17407.0,1.0,832.0,832.0,832.0,0.0,0.0625,426.0,255.9375,153.0,0.0625,426.0,255.9375,153.0,0.7916860580444336,0.0006303787231445312,0.0004718326963484287,0.0006281977402977645,0.001757357269525528,0.0008588619530200958,0.004338264465332031,-0.00332033634185791,1.0008610486984253,0.8215656280517578,2.33445405960083,0.8224245309829712,2.336484432220459,0.0005292621336159553,13.432090341935664,0.3616845297238239,0.009212865959852934,55.004409950226545,3.0982969207689166,,66.98472506506369,6.295842608902603,2.073503344785422,0.0,10.0,2.0,2.0,2.0,0.9996677041053772,0.062126755714416504,0.004372686613351107,0.007903564721345901,1.0
